"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"North Macedonia (MK)","07.01.2016 15:00 - 07.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 16:00 - 07.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 17:00 - 07.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 18:00 - 07.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 19:00 - 07.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 20:00 - 07.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 21:00 - 07.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 22:00 - 07.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","07.01.2016 23:00 - 08.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 00:00 - 08.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 01:00 - 08.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 02:00 - 08.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 03:00 - 08.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 04:00 - 08.01.2016 05:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 05:00 - 08.01.2016 06:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 06:00 - 08.01.2016 07:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 07:00 - 08.01.2016 08:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 08:00 - 08.01.2016 09:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 09:00 - 08.01.2016 10:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 10:00 - 08.01.2016 11:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 11:00 - 08.01.2016 12:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 12:00 - 08.01.2016 13:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 13:00 - 08.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 14:00 - 08.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 15:00 - 08.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 16:00 - 08.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 17:00 - 08.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 18:00 - 08.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 19:00 - 08.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 20:00 - 08.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 21:00 - 08.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 22:00 - 08.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","08.01.2016 23:00 - 09.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 00:00 - 09.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 01:00 - 09.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 02:00 - 09.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 03:00 - 09.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 04:00 - 09.01.2016 05:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 05:00 - 09.01.2016 06:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 06:00 - 09.01.2016 07:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 07:00 - 09.01.2016 08:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 08:00 - 09.01.2016 09:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 09:00 - 09.01.2016 10:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 10:00 - 09.01.2016 11:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 11:00 - 09.01.2016 12:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 12:00 - 09.01.2016 13:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 13:00 - 09.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 14:00 - 09.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 15:00 - 09.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 16:00 - 09.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 17:00 - 09.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 18:00 - 09.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 19:00 - 09.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 20:00 - 09.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 21:00 - 09.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 22:00 - 09.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","09.01.2016 23:00 - 10.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 00:00 - 10.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 01:00 - 10.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 02:00 - 10.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 03:00 - 10.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 04:00 - 10.01.2016 05:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 05:00 - 10.01.2016 06:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 06:00 - 10.01.2016 07:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 07:00 - 10.01.2016 08:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 08:00 - 10.01.2016 09:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 09:00 - 10.01.2016 10:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 10:00 - 10.01.2016 11:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 11:00 - 10.01.2016 12:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 12:00 - 10.01.2016 13:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 13:00 - 10.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 14:00 - 10.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 15:00 - 10.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 16:00 - 10.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 17:00 - 10.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 18:00 - 10.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 19:00 - 10.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 20:00 - 10.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 21:00 - 10.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 22:00 - 10.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","10.01.2016 23:00 - 11.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 00:00 - 11.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 01:00 - 11.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 02:00 - 11.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 03:00 - 11.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 04:00 - 11.01.2016 05:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 05:00 - 11.01.2016 06:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 06:00 - 11.01.2016 07:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 07:00 - 11.01.2016 08:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 08:00 - 11.01.2016 09:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 09:00 - 11.01.2016 10:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 10:00 - 11.01.2016 11:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 11:00 - 11.01.2016 12:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 12:00 - 11.01.2016 13:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 13:00 - 11.01.2016 14:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 14:00 - 11.01.2016 15:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 15:00 - 11.01.2016 16:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 16:00 - 11.01.2016 17:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 17:00 - 11.01.2016 18:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 18:00 - 11.01.2016 19:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 19:00 - 11.01.2016 20:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 20:00 - 11.01.2016 21:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 21:00 - 11.01.2016 22:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 22:00 - 11.01.2016 23:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","11.01.2016 23:00 - 12.01.2016 00:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","12.01.2016 00:00 - 12.01.2016 01:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","12.01.2016 01:00 - 12.01.2016 02:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","12.01.2016 02:00 - 12.01.2016 03:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","12.01.2016 03:00 - 12.01.2016 04:00 (UTC)","n/e","n/e"
"North Macedonia (MK)","12.01.2016 04:00 - 12.01.2016 05:00 (UTC)","n/e","n/e"
