"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Czech Republic (CZ)","07.01.2015 06:00 - 07.01.2015 07:00 (CET/CEST)","106","56"
"Czech Republic (CZ)","07.01.2015 07:00 - 07.01.2015 08:00 (CET/CEST)","107","61"
"Czech Republic (CZ)","07.01.2015 08:00 - 07.01.2015 09:00 (CET/CEST)","106","65"
"Czech Republic (CZ)","07.01.2015 09:00 - 07.01.2015 10:00 (CET/CEST)","77","314"
"Czech Republic (CZ)","07.01.2015 10:00 - 07.01.2015 11:00 (CET/CEST)","72","320"
"Czech Republic (CZ)","07.01.2015 11:00 - 07.01.2015 12:00 (CET/CEST)","73","271"
"Czech Republic (CZ)","07.01.2015 12:00 - 07.01.2015 13:00 (CET/CEST)","75","214"
"Czech Republic (CZ)","07.01.2015 13:00 - 07.01.2015 14:00 (CET/CEST)","74","254"
"Czech Republic (CZ)","07.01.2015 14:00 - 07.01.2015 15:00 (CET/CEST)","79","213"
"Czech Republic (CZ)","07.01.2015 15:00 - 07.01.2015 16:00 (CET/CEST)","74","376"
"Czech Republic (CZ)","07.01.2015 16:00 - 07.01.2015 17:00 (CET/CEST)","74","453"
"Czech Republic (CZ)","07.01.2015 17:00 - 07.01.2015 18:00 (CET/CEST)","76","574"
"Czech Republic (CZ)","07.01.2015 18:00 - 07.01.2015 19:00 (CET/CEST)","86","571"
"Czech Republic (CZ)","07.01.2015 19:00 - 07.01.2015 20:00 (CET/CEST)","88","446"
"Czech Republic (CZ)","07.01.2015 20:00 - 07.01.2015 21:00 (CET/CEST)","78","222"
"Czech Republic (CZ)","07.01.2015 21:00 - 07.01.2015 22:00 (CET/CEST)","95","60"
"Czech Republic (CZ)","07.01.2015 22:00 - 07.01.2015 23:00 (CET/CEST)","98","44"
"Czech Republic (CZ)","07.01.2015 23:00 - 08.01.2015 00:00 (CET/CEST)","98","44"
"Czech Republic (CZ)","08.01.2015 00:00 - 08.01.2015 01:00 (CET/CEST)","102","29"
"Czech Republic (CZ)","08.01.2015 01:00 - 08.01.2015 02:00 (CET/CEST)","102","29"
"Czech Republic (CZ)","08.01.2015 02:00 - 08.01.2015 03:00 (CET/CEST)","102","29"
"Czech Republic (CZ)","08.01.2015 03:00 - 08.01.2015 04:00 (CET/CEST)","102","29"
"Czech Republic (CZ)","08.01.2015 04:00 - 08.01.2015 05:00 (CET/CEST)","102","29"
"Czech Republic (CZ)","08.01.2015 05:00 - 08.01.2015 06:00 (CET/CEST)","101","33"
"Czech Republic (CZ)","08.01.2015 06:00 - 08.01.2015 07:00 (CET/CEST)","97","58"
"Czech Republic (CZ)","08.01.2015 07:00 - 08.01.2015 08:00 (CET/CEST)","106","64"
"Czech Republic (CZ)","08.01.2015 08:00 - 08.01.2015 09:00 (CET/CEST)","97","129"
"Czech Republic (CZ)","08.01.2015 09:00 - 08.01.2015 10:00 (CET/CEST)","86","128"
"Czech Republic (CZ)","08.01.2015 10:00 - 08.01.2015 11:00 (CET/CEST)","82","127"
"Czech Republic (CZ)","08.01.2015 11:00 - 08.01.2015 12:00 (CET/CEST)","81","128"
"Czech Republic (CZ)","08.01.2015 12:00 - 08.01.2015 13:00 (CET/CEST)","80","140"
"Czech Republic (CZ)","08.01.2015 13:00 - 08.01.2015 14:00 (CET/CEST)","82","124"
"Czech Republic (CZ)","08.01.2015 14:00 - 08.01.2015 15:00 (CET/CEST)","78","232"
"Czech Republic (CZ)","08.01.2015 15:00 - 08.01.2015 16:00 (CET/CEST)","79","213"
"Czech Republic (CZ)","08.01.2015 16:00 - 08.01.2015 17:00 (CET/CEST)","83","163"
"Czech Republic (CZ)","08.01.2015 17:00 - 08.01.2015 18:00 (CET/CEST)","76","566"
"Czech Republic (CZ)","08.01.2015 18:00 - 08.01.2015 19:00 (CET/CEST)","86","533"
"Czech Republic (CZ)","08.01.2015 19:00 - 08.01.2015 20:00 (CET/CEST)","78","409"
"Czech Republic (CZ)","08.01.2015 20:00 - 08.01.2015 21:00 (CET/CEST)","93","67"
"Czech Republic (CZ)","08.01.2015 21:00 - 08.01.2015 22:00 (CET/CEST)","95","57"
"Czech Republic (CZ)","08.01.2015 22:00 - 08.01.2015 23:00 (CET/CEST)","98","46"
"Czech Republic (CZ)","08.01.2015 23:00 - 09.01.2015 00:00 (CET/CEST)","100","37"
"Czech Republic (CZ)","09.01.2015 00:00 - 09.01.2015 01:00 (CET/CEST)","99","32"
"Czech Republic (CZ)","09.01.2015 01:00 - 09.01.2015 02:00 (CET/CEST)","96","40"
"Czech Republic (CZ)","09.01.2015 02:00 - 09.01.2015 03:00 (CET/CEST)","99","32"
"Czech Republic (CZ)","09.01.2015 03:00 - 09.01.2015 04:00 (CET/CEST)","99","31"
"Czech Republic (CZ)","09.01.2015 04:00 - 09.01.2015 05:00 (CET/CEST)","99","31"
"Czech Republic (CZ)","09.01.2015 05:00 - 09.01.2015 06:00 (CET/CEST)","99","31"
"Czech Republic (CZ)","09.01.2015 06:00 - 09.01.2015 07:00 (CET/CEST)","99","45"
"Czech Republic (CZ)","09.01.2015 07:00 - 09.01.2015 08:00 (CET/CEST)","108","57"
"Czech Republic (CZ)","09.01.2015 08:00 - 09.01.2015 09:00 (CET/CEST)","105","71"
"Czech Republic (CZ)","09.01.2015 09:00 - 09.01.2015 10:00 (CET/CEST)","105","71"
"Czech Republic (CZ)","09.01.2015 10:00 - 09.01.2015 11:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 11:00 - 09.01.2015 12:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 12:00 - 09.01.2015 13:00 (CET/CEST)","N/A","N/A"
